DOMAIN,
abc.com
airbnb.com,
aka.ms,
api.met.no,
arc.msn.com,
arte.tv,
assets.msn.com,
amazon.com,
b.root-servers.net,
bing.com,
bitbucket.org,
client.dropbox.com,
cnn.com,
contacts.google.com,
d.dropbox.com,
d.root-servers.net,
dell.com,
discord.com,
discordapp.com,
duckduckgo.com,
e.root-servers.net,
earth.google.com,
ebay.com,
edition.cnn.com,
f.root-servers.net,
facebook.com,
flightradar24.com,
fonts.google.com,
fonts.googleapis.com,
foto-webcam.eu,
foursquare.com,
g.root-servers.net,
github.com,
gmail.com,
google.com,
gstatic.com,
h.root-servers.net,
i.root-servers.net,
IEEE.org,
ibm.com,
icons8.com,
imap.googlemail.com,
j.root-servers.net,
k.root-servers.net,
l.root-servers.net,
live.github.com,
login.live.com,
m.root-servers.net,
mail.google.com,
maps.google.com,
microsoft.com,
mozilla.org,
music.google.com,
news.google.com,
news.url.google.com,
ntp.ubuntu.com,
open.spotify.com,
opera.com,
photos.google.com,
pixabay.com,
play.google.com,
plex.tv,
redhat.com,
sites.google.com,
slashdot.org,
speed.cloudflare.com,
speedtest.net,
stackoverflow.com,
sunnyportal.com,
teams.microsoft.com,
time.windows.com,
ubuntu.com,
update.googleapis.com,
wetter.com,
wttr.in,
www.apple.com,
www.arte.tv,
www.booking.com,
www.dropbox.com,
www.ecosia.org,
www.etsy.com,
www.expedia.com,
www.fleschutz.de,
www.google.com,
www.gstatic.com,
www.instagram.com,
www.msn.com,
www.nasa.gov,
www.netflix.com,
www.nytimes.com,
www.paypal.com,
www.redbull.com,
www.tiktok.com,
www.ufainc.com,
www.walmart.com,
www.whatsapp.com,
www.whitehouse.gov,
www.windy.com,
www.wikipedia.org,
www.youtube.com,